	AT	Balt	BE	DE	DK	Es	Fr	NL	No	Se	Uk
t5203	0.14	0.13	0.18	0.24	0.24	0.29	0.34	0.37	0.37	0.35	0.30
t5204	0.23	0.17	0.16	0.14	0.12	0.13	0.13	0.12	0.10	0.09	0.08
t5205	0.07	0.06	0.05	0.04	0.05	0.05	0.03	0.04	0.04	0.05	0.05
t5206	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.04	0.05
t5207	0.06	0.08	0.09	0.10	0.10	0.08	0.05	0.07	0.06	0.07	0.08
t5208	0.09	0.10	0.11	0.11	0.10	0.09	0.10	0.10	0.10	0.10	0.11
t5209	0.12	0.11	0.11	0.10	0.09	0.08	0.07	0.05	0.05	0.05	0.04
t5210	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.05	0.07	0.09	0.09
t5211	0.07	0.07	0.07	0.07	0.06	0.06	0.07	0.06	0.05	0.04	0.02
t5212	0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.04	0.05	0.07	0.10
t5213	0.13	0.15	0.12	0.12	0.11	0.11	0.10	0.10	0.10	0.09	0.08
t5214	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.06
t5215	0.07	0.10	0.12	0.13	0.11	0.10	0.10	0.09	0.08	0.08	0.08
t5216	0.08	0.08	0.07	0.06	0.06	0.08	0.09	0.11	0.13	0.14	0.14
t5217	0.12	0.11	0.11	0.12	0.12	0.13	0.17	0.17	0.17	0.19	0.22
t5218	0.26	0.31	0.33	0.35	0.33	0.34	0.37	0.37	0.37	0.36	0.39
t5219	0.40	0.39	0.38	0.34	0.33	0.32	0.32	0.33	0.39	0.40	0.41
t5220	0.42	0.42	0.41	0.39	0.38	0.36	0.39	0.44	0.44	0.43	0.42
t5221	0.46	0.49	0.52	0.53	0.54	0.50	0.46	0.42	0.37	0.34	0.40
t5222	0.35	0.31	0.31	0.31	0.32	0.31	0.29	0.27	0.27	0.24	0.20
t5223	0.16	0.15	0.17	0.20	0.22	0.25	0.25	0.22	0.19	0.17	0.14
t5224	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.12	0.11	0.11
t5225	0.12	0.11	0.11	0.11	0.12	0.13	0.14	0.14	0.14	0.14	0.12
t5226	0.11	0.10	0.10	0.09	0.09	0.09	0.09	0.09	0.08	0.08	0.08
t5227	0.08	0.07	0.07	0.08	0.08	0.07	0.07	0.07	0.07	0.06	0.06
t5228	0.06	0.06	0.06	0.06	0.06	0.09	0.10	0.12	0.14	0.14	0.14
t5229	0.15	0.17	0.20	0.23	0.23	0.25	0.30	0.32	0.36	0.36	0.35
t5230	0.35	0.34	0.32	0.30	0.30	0.32	0.36	0.42	0.47	0.49	0.48
t5231	0.46	0.45	0.44	0.43	0.41	0.40	0.49	0.47	0.45	0.46	0.47
t5232	0.48	0.49	0.49	0.46	0.39	0.32	0.29	0.28	0.28	0.32	0.29
t5233	0.27	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.29	0.34	0.41
t5234	0.38	0.38	0.35	0.33	0.31	0.27	0.26	0.25	0.25	0.24	0.23
t5235	0.23	0.21	0.19	0.18	0.17	0.16	0.16	0.16	0.15	0.14	0.12
t5236	0.13	0.10	0.10	0.09	0.08	0.07	0.06	0.05	0.04	0.06	0.10
t5237	0.16	0.19	0.23	0.26	0.17	0.15	0.13	0.12	0.11	0.10	0.09
t5238	0.08	0.06	0.06	0.05	0.05	0.05	0.06	0.06	0.07	0.06	0.06
t5239	0.07	0.10	0.12	0.13	0.10	0.09	0.09	0.09	0.09	0.09	0.11
t5240	0.12	0.12	0.10	0.09	0.09	0.09	0.10	0.10	0.11	0.12	0.14
t5241	0.16	0.19	0.21	0.22	0.24	0.24	0.23	0.26	0.27	0.26	0.25
t5242	0.21	0.18	0.15	0.15	0.14	0.13	0.13	0.15	0.13	0.12	0.10
t5243	0.09	0.08	0.09	0.07	0.08	0.10	0.10	0.11	0.11	0.12	0.13
t5244	0.14	0.14	0.14	0.14	0.15	0.16	0.20	0.21	0.20	0.23	0.23
t5245	0.23	0.23	0.24	0.24	0.23	0.21	0.18	0.16	0.15	0.14	0.11
t5246	0.10	0.09	0.09	0.09	0.08	0.08	0.07	0.08	0.07	0.07	0.07
t5247	0.09	0.10	0.10	0.10	0.10	0.09	0.09	0.08	0.09	0.10	0.12
t5248	0.13	0.15	0.14	0.13	0.13	0.12	0.11	0.10	0.09	0.08	0.06
t5249	0.05	0.05	0.08	0.08	0.09	0.11	0.13	0.17	0.17	0.16	0.17
t5250	0.18	0.19	0.19	0.19	0.17	0.16	0.15	0.14	0.14	0.13	0.14
t5251	0.15	0.15	0.20	0.23	0.27	0.33	0.41	0.48	0.55	0.60	0.60
t5252	0.58	0.57	0.58	0.58	0.57	0.46	0.46	0.41	0.39	0.34	0.30
t5253	0.28	0.27	0.25	0.23	0.22	0.22	0.30	0.26	0.24	0.22	0.20
t5254	0.19	0.17	0.15	0.12	0.11	0.10	0.09	0.06	0.06	0.06	0.07
t5255	0.08	0.08	0.07	0.06	0.06	0.06	0.06	0.07	0.10	0.09	0.09
t5256	0.10	0.10	0.10	0.11	0.10	0.08	0.08	0.08	0.09	0.12	0.12
t5257	0.12	0.12	0.11	0.10	0.08	0.07	0.06	0.05	0.05	0.05	0.06
t5258	0.05	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.04
t5259	0.05	0.04	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.02
t5260	0.03	0.03	0.04	0.05	0.06	0.07	0.08	0.08	0.07	0.06	0.06
t5261	0.06	0.05	0.07	0.06	0.07	0.08	0.08	0.08	0.08	0.09	0.10
t5262	0.09	0.09	0.10	0.11	0.11	0.14	0.18	0.22	0.27	0.27	0.27
t5263	0.22	0.20	0.18	0.16	0.15	0.13	0.11	0.11	0.11	0.11	0.12
t5264	0.11	0.11	0.09	0.09	0.09	0.14	0.14	0.16	0.17	0.17	0.15
t5265	0.15	0.17	0.18	0.18	0.18	0.18	0.16	0.19	0.20	0.21	0.20
t5266	0.19	0.19	0.16	0.15	0.13	0.09	0.09	0.12	0.13	0.14	0.15
t5267	0.13	0.10	0.11	0.14	0.18	0.22	0.23	0.22	0.20	0.17	0.16
t5268	0.15	0.15	0.16	0.15	0.15	0.16	0.15	0.13	0.14	0.15	0.15
t5269	0.14	0.13	0.13	0.14	0.14	0.13	0.14	0.17	0.17	0.17	0.15
t5270	0.14	0.13	0.11	0.10	0.10	0.10	0.10	0.09	0.08	0.08	0.08
t5271	0.07	0.07	0.07	0.08	0.09	0.09	0.09	0.07	0.07	0.06	0.06
t5272	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
t5273	0.03	0.03	0.04	0.05	0.07	0.09	0.11	0.14	0.16	0.16	0.20
t5274	0.24	0.29	0.32	0.33	0.35	0.37	0.39	0.39	0.42	0.42	0.41
t5275	0.38	0.35	0.27	0.27	0.25	0.25	0.24	0.24	0.22	0.22	0.23
t5276	0.23	0.26	0.27	0.25	0.24	0.25	0.22	0.22	0.22	0.22	0.22
t5277	0.20	0.19	0.19	0.18	0.15	0.15	0.13	0.13	0.14	0.14	0.16
t5278	0.19	0.22	0.24	0.28	0.31	0.34	0.36	0.33	0.33	0.33	0.33
t5279	0.32	0.32	0.32	0.31	0.30	0.28	0.21	0.23	0.21	0.22	0.23
t5280	0.22	0.20	0.16	0.13	0.10	0.11	0.13	0.12	0.11	0.10	0.07
t5281	0.06	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.03	0.04
t5282	0.04	0.05	0.07	0.09	0.12	0.12	0.13	0.13	0.13	0.13	0.13
t5283	0.11	0.10	0.09	0.09	0.08	0.08	0.08	0.09	0.10	0.10	0.10
t5284	0.12	0.12	0.13	0.14	0.14	0.15	0.15	0.14	0.12	0.11	0.11
t5285	0.10	0.09	0.08	0.08	0.08	0.09	0.10	0.11	0.12	0.13	0.14
t5286	0.12	0.12	0.15	0.16	0.17	0.18	0.20	0.21	0.22	0.20	0.17
t5287	0.15	0.12	0.11	0.09	0.08	0.08	0.07	0.07	0.06	0.06	0.06
t5288	0.07	0.07	0.06	0.06	0.07	0.10	0.11	0.11	0.11	0.11	0.11
t5289	0.10	0.10	0.10	0.11	0.12	0.12	0.14	0.13	0.14	0.16	0.17
t5290	0.19	0.22	0.27	0.32	0.37	0.35	0.39	0.48	0.52	0.55	0.57
t5291	0.57	0.55	0.54	0.52	0.50	0.44	0.39	0.34	0.28	0.23	0.19
t5292	0.15	0.15	0.14	0.14	0.13	0.12	0.11	0.10	0.11	0.15	0.16
t5293	0.17	0.18	0.18	0.17	0.15	0.13	0.13	0.13	0.14	0.14	0.14
t5294	0.14	0.15	0.15	0.14	0.13	0.13	0.14	0.15	0.14	0.12	0.14
t5295	0.19	0.16	0.14	0.12	0.11	0.11	0.10	0.10	0.12	0.13	0.14
t5296	0.14	0.14	0.12	0.11	0.10	0.09	0.09	0.08	0.08	0.08	0.09
t5297	0.08	0.07	0.10	0.13	0.16	0.16	0.15	0.14	0.13	0.15	0.18
t5298	0.23	0.27	0.31	0.38	0.40	0.42	0.45	0.49	0.54	0.56	0.58
t5299	0.59	0.58	0.55	0.54	0.54	0.55	0.49	0.49	0.45	0.41	0.40
t5300	0.41	0.42	0.45	0.49	0.53	0.65	0.66	0.65	0.63	0.63	0.62
t5301	0.60	0.59	0.58	0.57	0.55	0.59	0.62	0.62	0.61	0.59	0.58
t5302	0.50	0.44	0.38	0.34	0.32	0.32	0.34	0.32	0.31	0.10	0.11
t5303	0.12	0.12	0.12	0.13	0.14	0.14	0.15	0.16	0.12	0.12	0.13
t5304	0.15	0.17	0.19	0.20	0.20	0.22	0.23	0.24	0.25	0.27	0.27
t5305	0.28	0.28	0.28	0.28	0.27	0.27	0.28	0.30	0.31	0.37	0.54
t5306	0.56	0.57	0.59	0.57	0.51	0.41	0.31	0.24	0.20	0.19	0.16
t5307	0.17	0.15	0.14	0.13	0.13	0.13	0.14	0.15	0.18	0.20	0.20
t5308	0.23	0.46	0.55	0.56	0.57	0.55	0.55	0.56	0.57	0.60	0.61
t5309	0.62	0.61	0.60	0.58	0.53	0.47	0.39	0.32	0.27	0.24	0.23
t5310	0.22	0.21	0.21	0.19	0.25	0.26	0.20	0.19	0.16	0.14	0.14
t5311	0.13	0.13	0.12	0.11	0.10	0.09	0.09	0.09	0.09	0.09	0.10
t5312	0.09	0.09	0.09	0.07	0.06	0.07	0.07	0.07	0.08	0.08	0.08
t5313	0.09	0.14	0.22	0.28	0.31	0.32	0.34	0.34	0.33	0.33	0.31
t5314	0.30	0.29	0.30	0.31	0.30	0.24	0.19	0.17	0.19	0.22	0.24
t5315	0.25	0.26	0.27	0.31	0.32	0.29	0.32	0.37	0.54	0.48	0.47
t5316	0.44	0.41	0.39	0.36	0.33	0.30	0.26	0.21	0.26	0.26	0.21
t5317	0.18	0.18	0.17	0.15	0.11	0.10	0.10	0.11	0.11	0.12	0.13
t5318	0.12	0.11	0.12	0.12	0.12	0.12	0.12	0.13	0.13	0.12	0.12
t5319	0.12	0.13	0.16	0.16	0.16	0.15	0.14	0.14	0.16	0.16	0.17
t5320	0.17	0.20	0.18	0.16	0.15	0.16	0.17	0.18	0.20	0.23	0.27
t5321	0.30	0.35	0.38	0.39	0.42	0.41	0.41	0.42	0.39	0.35	0.32
t5322	0.30	0.26	0.23	0.26	0.20	0.19	0.18	0.19	0.20	0.21	0.24
t5323	0.27	0.30	0.28	0.39	0.40	0.44	0.46	0.50	0.55	0.57	0.55
t5324	0.52	0.50	0.46	0.42	0.38	0.33	0.28	0.26	0.24	0.22	0.20
t5325	0.18	0.17	0.16	0.15	0.14	0.13	0.13	0.14	0.14	0.15	0.16
t5326	0.15	0.14	0.13	0.13	0.13	0.13	0.12	0.12	0.11	0.11	0.11
t5327	0.11	0.10	0.09	0.09	0.10	0.11	0.11	0.11	0.13	0.12	0.12
t5328	0.12	0.12	0.11	0.10	0.09	0.10	0.11	0.11	0.11	0.10	0.09
t5329	0.08	0.08	0.08	0.08	0.08	0.07	0.07	0.07	0.05	0.03	0.04
t5330	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04
t5331	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
t5332	0.04	0.05	0.06	0.07	0.08	0.09	0.10	0.10	0.10	0.11	0.11
t5333	0.11	0.10	0.10	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.10
t5334	0.10	0.09	0.08	0.09	0.10	0.10	0.10	0.10	0.09	0.09	0.09
t5335	0.10	0.11	0.11	0.11	0.12	0.11	0.11	0.11	0.09	0.08	0.08
t5336	0.07	0.08	0.07	0.06	0.04	0.04	0.04	0.05	0.04	0.04	0.04
t5337	0.04	0.04	0.05	0.06	0.07	0.09	0.13	0.13	0.13	0.13	0.12
t5338	0.12	0.12	0.13	0.13	0.13	0.10	0.07	0.06	0.06	0.07	0.07
t5339	0.07	0.08	0.07	0.09	0.10	0.10	0.10	0.10	0.15	0.13	0.14
t5340	0.14	0.16	0.17	0.17	0.18	0.19	0.19	0.17	0.11	0.14	0.14
t5341	0.14	0.14	0.13	0.12	0.11	0.13	0.16	0.17	0.18	0.19	0.28
t5342	0.26	0.26	0.28	0.28	0.28	0.26	0.28	0.29	0.30	0.28	0.19
t5343	0.16	0.14	0.12	0.11	0.10	0.09	0.08	0.11	0.13	0.14	0.15
t5344	0.15	0.19	0.17	0.16	0.17	0.16	0.16	0.16	0.15	0.15	0.13
t5345	0.11	0.08	0.06	0.05	0.05	0.06	0.05	0.05	0.05	0.07	0.08
t5346	0.09	0.11	0.13	0.21	0.21	0.22	0.22	0.22	0.21	0.20	0.21
t5347	0.22	0.22	0.21	0.16	0.13	0.12	0.12	0.13	0.12	0.16	0.22
t5348	0.31	0.37	0.39	0.40	0.41	0.46	0.46	0.49	0.51	0.55	0.58
t5349	0.60	0.60	0.59	0.58	0.56	0.55	0.55	0.56	0.56	0.55	0.52
t5350	0.50	0.47	0.42	0.38	0.34	0.31	0.28	0.23	0.21	0.20	0.18
t5351	0.16	0.16	0.15	0.13	0.11	0.10	0.10	0.10	0.12	0.12	0.12
t5352	0.11	0.13	0.13	0.12	0.10	0.09	0.09	0.09	0.09	0.13	0.12
t5353	0.11	0.11	0.10	0.10	0.11	0.11	0.12	0.11	0.11	0.10	0.12
t5354	0.12	0.13	0.13	0.11	0.10	0.10	0.10	0.10	0.10	0.10	0.10
t5355	0.10	0.09	0.08	0.07	0.07	0.07	0.07	0.08	0.09	0.10	0.14
t5356	0.18	0.22	0.26	0.29	0.33	0.34	0.33	0.35	0.38	0.43	0.46
t5357	0.48	0.48	0.42	0.38	0.33	0.28	0.24	0.21	0.19	0.17	0.17
t5358	0.17	0.16	0.14	0.11	0.12	0.15	0.16	0.17	0.16	0.19	0.22
t5359	0.26	0.29	0.32	0.35	0.53	0.52	0.52	0.55	0.59	0.63	0.67
t5360	0.70	0.72	0.72	0.72	0.69	0.73	0.71	0.69	0.68	0.68	0.64
t5361	0.55	0.46	0.39	0.34	0.34	0.35	0.40	0.39	0.38	0.38	0.39
t5362	0.38	0.39	0.38	0.39	0.39	0.36	0.38	0.35	0.35	0.33	0.33
t5363	0.29	0.22	0.14	0.10	0.09	0.09	0.09	0.07	0.05	0.04	0.04
t5364	0.04	0.03	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.05	0.05
t5365	0.07	0.08	0.09	0.08	0.08	0.11	0.16	0.21	0.25	0.28	0.39
t5366	0.40	0.44	0.47	0.51	0.51	0.52	0.51	0.52	0.52	0.54	0.56
t5367	0.54	0.52	0.53	0.54	0.51	0.45	0.37	0.31	0.27	0.26	0.26
t5368	0.26	0.22	0.22	0.23	0.24	0.25	0.26	0.26	0.26	0.23	0.18
t5369	0.14	0.10	0.07	0.07	0.07	0.08	0.08	0.08	0.07	0.07	0.07
t5370	0.07	0.07	0.07	0.08	0.08	0.08	0.08	0.08	0.07	0.07	0.07
t5371	0.07	0.08	0.07	0.07	0.08	0.09	0.09	0.09	0.10	0.10	0.09
t5372	0.09	0.09	0.09	0.09	0.10	0.10	0.10	0.10	0.10	0.10	0.11
t5373	0.11	0.11	0.11	0.11	0.11	0.10	0.10	0.10	0.10	0.10	0.10
t5374	0.10	0.10	0.10	0.11	0.12	0.13	0.14	0.14	0.15	0.17	0.18
t5375	0.19	0.20	0.19	0.19	0.19	0.20	0.22	0.23	0.21	0.20	0.20
t5376	0.21	0.23	0.23	0.25	0.27	0.29	0.31	0.31	0.30	0.29	0.27
t5377	0.25	0.24	0.25	0.25	0.24	0.25	0.24	0.22	0.22	0.19	0.16
t5378	0.16	0.16	0.17	0.19	0.20	0.22	0.24	0.28	0.32	0.34	0.37
t5379	0.34	0.37	0.41	0.45	0.47	0.48	0.52	0.55	0.55	0.54	0.54
t5380	0.52	0.48	0.46	0.40	0.34	0.34	0.34	0.35	0.41	0.45	0.48
t5381	0.47	0.44	0.39	0.38	0.34	0.32	0.29	0.25	0.22	0.20	0.18
t5382	0.16	0.14	0.13	0.12	0.14	0.17	0.21	0.24	0.29	0.36	0.44
t5383	0.47	0.47	0.45	0.41	0.32	0.28	0.26	0.25	0.23	0.23	0.23
t5384	0.23	0.22	0.22	0.21	0.21	0.20	0.21	0.20	0.17	0.15	0.13
t5385	0.12	0.14	0.16	0.18	0.18	0.17	0.17	0.16	0.16	0.15	0.13
t5386	0.12	0.11	0.11	0.11	0.11	0.10	0.08	0.06	0.06	0.08	0.12
t5387	0.16	0.24	0.31	0.36	0.41	0.47	0.49	0.51	0.51	0.53	0.52
t5388	0.50	0.47	0.46	0.44	0.41	0.37	0.33	0.30	0.27	0.24	0.20
t5389	0.17	0.13	0.11	0.10	0.09	0.09	0.10	0.11	0.10	0.10	0.10
t5390	0.09	0.09	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.07	0.06
t5391	0.06	0.06	0.06	0.06	0.06	0.07	0.07	0.07	0.08	0.09	0.09
t5392	0.11	0.11	0.12	0.14	0.15	0.17	0.17	0.18	0.19	0.20	0.21
t5393	0.20	0.21	0.21	0.23	0.21	0.20	0.16	0.14	0.13	0.13	0.14
t5394	0.15	0.16	0.17	0.19	0.19	0.20	0.21	0.21	0.23	0.24	0.26
t5395	0.28	0.30	0.30	0.30	0.30	0.36	0.39	0.41	0.38	0.38	0.41
t5396	0.45	0.50	0.55	0.60	0.63	0.68	0.69	0.69	0.69	0.69	0.68
t5397	0.65	0.62	0.57	0.52	0.47	0.43	0.32	0.34	0.38	0.42	0.47
t5398	0.51	0.55	0.61	0.65	0.69	0.72	0.74	0.74	0.75	0.74	0.74
t5399	0.73	0.72	0.70	0.70	0.69	0.69	0.70	0.72	0.67	0.71	0.71
t5400	0.74	0.76	0.75	0.76	0.76	0.76	0.77	0.78	0.79	0.77	0.77
t5401	0.77	0.77	0.77	0.75	0.71	0.66	0.61	0.58	0.55	0.51	0.46
t5402	0.51	0.53	0.50	0.44	0.39	0.32	0.27	0.25	0.24	0.24	0.23
t5403	0.23	0.21	0.20	0.19	0.17	0.17	0.16	0.15	0.14	0.12	0.11
t5404	0.10	0.07	0.07	0.07	0.07	0.07	0.07	0.08	0.09	0.10	0.10
t5405	0.10	0.10	0.10	0.10	0.10	0.11	0.12	0.12	0.13	0.13	0.13
t5406	0.13	0.12	0.12	0.11	0.12	0.13	0.14	0.14	0.14	0.14	0.15
t5407	0.16	0.16	0.17	0.18	0.20	0.20	0.19	0.20	0.19	0.19	0.18
t5408	0.17	0.16	0.15	0.15	0.14	0.12	0.11	0.11	0.11	0.11	0.11
t5409	0.11	0.11	0.11	0.11	0.11	0.11	0.10	0.10	0.10	0.10	0.10
t5410	0.09	0.09	0.09	0.09	0.09	0.09	0.08	0.10	0.11	0.13	0.13
t5411	0.12	0.10	0.10	0.11	0.11	0.11	0.11	0.11	0.10	0.10	0.11
t5412	0.11	0.11	0.11	0.11	0.11	0.12	0.12	0.12	0.13	0.16	0.16
t5413	0.18	0.17	0.17	0.15	0.16	0.16	0.16	0.16	0.16	0.15	0.15
t5414	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.13	0.12
t5415	0.13	0.12	0.11	0.11	0.10	0.09	0.09	0.10	0.11	0.12	0.13
t5416	0.15	0.16	0.18	0.20	0.20	0.21	0.23	0.24	0.24	0.22	0.21
t5417	0.18	0.16	0.18	0.18	0.15	0.13	0.13	0.15	0.15	0.15	0.15
t5418	0.15	0.15	0.15	0.16	0.15	0.15	0.15	0.14	0.13	0.12	0.11
t5419	0.11	0.11	0.10	0.09	0.09	0.10	0.11	0.13	0.13	0.12	0.13
t5420	0.14	0.15	0.15	0.16	0.17	0.19	0.19	0.20	0.20	0.21	0.21
t5421	0.24	0.25	0.26	0.27	0.27	0.25	0.24	0.28	0.30	0.33	0.33
t5422	0.34	0.36	0.38	0.41	0.41	0.42	0.43	0.42	0.42	0.45	0.47
t5423	0.50	0.54	0.59	0.63	0.67	0.72	0.75	0.76	0.69	0.72	0.72
t5424	0.70	0.67	0.64	0.61	0.58	0.55	0.52	0.50	0.49	0.46	0.52
t5425	0.57	0.61	0.61	0.62	0.62	0.59	0.57	0.53	0.50	0.45	0.40
t5426	0.48	0.50	0.50	0.47	0.44	0.44	0.42	0.40	0.38	0.36	0.33
t5427	0.27	0.23	0.20	0.18	0.16	0.15	0.14	0.13	0.12	0.13	0.17
t5428	0.24	0.32	0.46	0.58	0.68	0.73	0.74	0.76	0.73	0.68	0.62
t5429	0.57	0.53	0.54	0.49	0.45	0.40	0.35	0.33	0.29	0.23	0.20
t5430	0.17	0.14	0.12	0.09	0.09	0.09	0.10	0.12	0.16	0.24	0.28
t5431	0.30	0.31	0.31	0.31	0.32	0.31	0.30	0.30	0.30	0.31	0.31
t5432	0.31	0.31	0.31	0.31	0.28	0.25	0.26	0.25	0.24	0.27	0.28
t5433	0.27	0.25	0.26	0.27	0.26	0.23	0.21	0.20	0.15	0.14	0.13
t5434	0.13	0.14	0.14	0.14	0.14	0.15	0.12	0.10	0.09	0.08	0.07
t5435	0.07	0.08	0.09	0.10	0.10	0.11	0.10	0.10	0.09	0.10	0.09
t5436	0.08	0.08	0.08	0.09	0.09	0.09	0.10	0.10	0.09	0.08	0.07
t5437	0.07	0.07	0.08	0.09	0.13	0.16	0.18	0.19	0.19	0.19	0.19
t5438	0.20	0.21	0.21	0.21	0.21	0.21	0.20	0.20	0.21	0.23	0.21
t5439	0.18	0.15	0.13	0.13	0.14	0.19	0.25	0.31	0.31	0.30	0.29
t5440	0.27	0.25	0.26	0.26	0.26	0.26	0.24	0.22	0.22	0.22	0.21
t5441	0.19	0.16	0.11	0.09	0.08	0.08	0.09	0.10	0.13	0.16	0.16
t5442	0.16	0.15	0.14	0.11	0.10	0.09	0.08	0.07	0.07	0.07	0.07
t5443	0.06	0.06	0.06	0.05	0.04	0.05	0.05	0.06	0.07	0.09	0.13
t5444	0.18	0.21	0.24	0.28	0.32	0.33	0.33	0.38	0.40	0.42	0.41
t5445	0.41	0.41	0.42	0.42	0.40	0.40	0.35	0.38	0.38	0.38	0.41
t5446	0.39	0.38	0.37	0.37	0.37	0.36	0.36	0.33	0.31	0.30	0.28
t5447	0.27	0.26	0.24	0.22	0.20	0.18	0.16	0.16	0.14	0.14	0.14
t5448	0.15	0.15	0.13	0.12	0.12	0.12	0.12	0.13	0.14	0.16	0.17
t5449	0.19	0.20	0.20	0.19	0.20	0.21	0.21	0.23	0.27	0.34	0.32
t5450	0.43	0.52	0.56	0.58	0.62	0.65	0.68	0.71	0.72	0.74	0.76
t5451	0.70	0.75	0.77	0.76	0.73	0.69	0.65	0.60	0.55	0.49	0.44
t5452	0.40	0.31	0.33	0.29	0.30	0.27	0.24	0.23	0.23	0.23	0.22
t5453	0.21	0.19	0.17	0.18	0.20	0.21	0.22	0.25	0.29	0.32	0.34
t5454	0.34	0.33	0.31	0.24	0.25	0.28	0.33	0.31	0.30	0.31	0.33
t5455	0.35	0.35	0.32	0.29	0.20	0.21	0.23	0.25	0.23	0.22	0.20
t5456	0.17	0.16	0.15	0.15	0.15	0.11	0.10	0.12	0.12	0.11	0.11
t5457	0.11	0.11	0.12	0.11	0.10	0.09	0.06	0.06	0.06	0.06	0.06
t5458	0.06	0.06	0.06	0.07	0.07	0.08	0.08	0.08	0.10	0.10	0.11
t5459	0.11	0.12	0.13	0.15	0.18	0.20	0.20	0.20	0.22	0.21	0.20
t5460	0.19	0.18	0.17	0.16	0.15	0.13	0.13	0.11	0.09	0.08	0.09
t5461	0.12	0.14	0.15	0.14	0.14	0.14	0.15	0.16	0.16	0.15	0.15
t5462	0.15	0.16	0.15	0.16	0.16	0.17	0.17	0.17	0.18	0.19	0.18
t5463	0.14	0.14	0.15	0.15	0.14	0.12	0.12	0.13	0.15	0.16	0.19
t5464	0.22	0.23	0.26	0.28	0.29	0.31	0.32	0.32	0.29	0.27	0.26
t5465	0.25	0.23	0.17	0.18	0.18	0.15	0.13	0.12	0.15	0.21	0.25
t5466	0.27	0.29	0.32	0.33	0.35	0.36	0.36	0.38	0.40	0.43	0.44
t5467	0.45	0.46	0.47	0.48	0.43	0.40	0.37	0.37	0.36	0.35	0.36
t5468	0.37	0.38	0.40	0.40	0.39	0.39	0.38	0.39	0.38	0.36	0.34
t5469	0.33	0.32	0.32	0.31	0.30	0.29	0.24	0.29	0.34	0.33	0.34
t5470	0.35	0.35	0.35	0.34	0.32	0.30	0.28	0.21	0.24	0.24	0.24
t5471	0.21	0.19	0.19	0.19	0.19	0.20	0.21	0.23	0.21	0.25	0.29
t5472	0.33	0.37	0.41	0.45	0.49	0.52	0.53	0.53	0.53	0.50	0.51
t5473	0.52	0.53	0.53	0.52	0.50	0.50	0.48	0.46	0.44	0.42	0.33
t5474	0.32	0.33	0.34	0.32	0.33	0.32	0.37	0.39	0.40	0.39	0.40
t5475	0.34	0.36	0.34	0.30	0.27	0.25	0.24	0.24	0.23	0.22	0.22
t5476	0.19	0.16	0.16	0.15	0.13	0.14	0.14	0.14	0.16	0.16	0.18
t5477	0.19	0.20	0.21	0.21	0.22	0.24	0.26	0.28	0.30	0.30	0.34
t5478	0.37	0.41	0.41	0.34	0.36	0.38	0.38	0.35	0.36	0.39	0.42
t5479	0.45	0.45	0.44	0.41	0.45	0.43	0.39	0.35	0.31	0.30	0.30
t5480	0.29	0.26	0.25	0.25	0.23	0.20	0.22	0.22	0.22	0.18	0.14
t5481	0.14	0.16	0.17	0.19	0.22	0.24	0.27	0.27	0.27	0.27	0.27
t5482	0.28	0.28	0.29	0.30	0.32	0.32	0.31	0.26	0.26	0.27	0.28
t5483	0.32	0.36	0.41	0.45	0.48	0.51	0.53	0.56	0.54	0.58	0.59
t5484	0.60	0.61	0.62	0.63	0.64	0.64	0.63	0.61	0.59	0.51	0.46
t5485	0.41	0.40	0.40	0.37	0.34	0.34	0.32	0.33	0.33	0.30	0.25
t5486	0.23	0.22	0.22	0.22	0.21	0.21	0.20	0.20	0.21	0.20	0.19
t5487	0.14	0.15	0.16	0.17	0.17	0.20	0.22	0.24	0.24	0.26	0.26
t5488	0.28	0.27	0.28	0.30	0.33	0.35	0.39	0.43	0.47	0.51	0.55
t5489	0.59	0.61	0.62	0.65	0.65	0.64	0.63	0.63	0.62	0.62	0.61
t5490	0.63	0.65	0.67	0.66	0.66	0.67	0.67	0.68	0.66	0.64	0.62
t5491	0.59	0.56	0.54	0.52	0.43	0.45	0.46	0.46	0.43	0.42	0.43
t5492	0.43	0.44	0.47	0.50	0.49	0.42	0.41	0.42	0.41	0.37	0.36
